id;correcta;texto;pregunta_id
1;1;Digital Versatile Disk;1
2;0;Domestic Versatile Data;1
3;0;Digital Video Disc;1
4;0;Firmware que hace que un equipo funcione correctamente.;2
5;1;Software o conjunto de programas que hace que los programas de usuarios funcionen en un hardware determinado.;2
6;0;Software o hardware que permite que un equipo funcione mínimamente.;2
7;1;VERDADERO;3
8;0;FALSO;3
9;0;Es un programa que se almacena en la RAM cuando se apaga el equipo.;4
10;0;Es un programa que se ejecuta si al arrancar el ordenador se pulsa la tecla “del” o “supr”.;4
11;1;Es un programa que almacena las principales configuraciones del sistema, además permite el arranque de sistema operativo en memoria.;4
12;0;VERDADERO;5
13;1;FALSO;5
14;0;VERDADERO;6
15;1;FALSO;6
16;0;Resistir la temperatura;7
17;0;Almacenar la energía;7
18;1;Consumir Potencia;7
19;1;VERDADERO;8
20;0;FALSO;8
21;1;Read Only Memory;9
22;0;Random Open Memory;9
23;0;Read Of Memory;9
24;1;Software que contiene el hardware;10
25;0;Un acceso a la memoria principal;10
26;0;Un conductor de energía;10
27;1;Se aplica luz ultravioleta sobre la oblea a través de una plantilla.;11
28;0;Se aplica electricidad sobre la oblea.;11
29;0;Se conserva energía en la oblea.;11
30;0;VERDADERO;12
31;1;FALSO;12
32;1;Conservar los datos de la BIOS cuando el ordenador está apagado.;13
33;0;Conserva los datos de la BIOS cuando el ordenador está encendido.;13
34;0;Eliminar los datos de la BIOS.;13
35;0;El elemento del equipo que envía al mouse la información que debe salir por la BIOS.;14
36;1;El elemento del equipo que envía al monitor la información que debe salir por pantalla.;14
37;0;El elemento del equipo que envía al teclado mouse la información que debe salir por la CPU.;14
38;1;VERDADERO;15
39;0;FALSO;15
40;0;Growing Power Unit;16
41;0;Graphics Power Unit;16
42;1;Graphics Processing Unit;16
43;1;Conectarlos a un dispositivo, periférico, o añadir algún componente interno para mejorar nuestro equipo computacional.;17
44;0;Conectar únicamente el BIOS.;17
45;0;Conectar únicamente dispositivos externos.;17
46;1;Basic Input Output System;18
47;0;Basic Input System Output;18
48;0;System Output Input Basic;18
49;1;Un circuito integrado con las características de interpretación y ejecución de datos.;19
50;0;Un circuito integrado donde se almacena datos.;19
51;0;Una matriz de transistores que regula el flujo de corriente como un interruptor o amplificador.;19
52;0;Madera;20
53;1;Silicio;20
54;0;Silicato;20
55;1;Un circuito lógico que responde y procesa las operaciones lógicas y aritméticas que hacen funcionar a nuestras computadoras.;21
56;0;Es un sistema de protección del contenido digital de elevado ancho de banda.;21
57;0;Se encarga de conservar los datos de la BIOS.;21
58;1;Gestiona y controla el funcionamiento de todos los dispositivos de tu ordenador. En ella o van conectados los elementos directamente o los que no están conectados en ella directamente van conectados a ella a través de los Buses (cables).;22
59;0;Se encarga de almacenar los datos de la pila.;22
60;0;Gestiona la energía de los condensadores.;22
61;0;Costo de fabricación, sincronización y el voltaje de consumo.;23
62;0;El tamaño, velocidad y el voltaje de consumo.;23
63;1;La sincronización, trabajo en ráfagas y organización de celdas independientes.;23
64;0;DIP y TSOP;24
65;0;sTSOP y SOJ;24
66;1;MCP y PoP;24
67;1;VERDADERO;25
68;0;FALSO;25
69;0;La BIOS;26
70;0;Ranuras de memoria;26
71;1;Zócalo;26
72;0;DDR4;27
73;1;DDR3;27
74;0;Para todo tipo de memoria.;27
75;0;Mejorar la interfaz gráfica, a través de su diseño modular, personalizable con la finalidad de no generar carga en el sistema operativo.;28
76;0;Administrar el espacio del disco duro, la memoria RAM con la finalidad de organizar la información que se genera en el ordenador.;28
77;1;Controlar muchas funciones del ordenador como la interacción del microprocesador con la memoria, control de puertos internos y externos, tarjeta de sonido, controlador de red, entre otros.;28
78;1;AGP;29
79;0;PCI;29
80;0;MCA;29
81;0;IDE;30
82;0;DVI;30
83;1;VGA;30
84;1;VERDADERO;31
85;0;FALSO;31
86;0;VERDADERO;32
87;1;FALSO;32
88;0;Los puertos COM1;33
89;0;Canales DMA;33
90;1;Canales IRQ;33
91;0;S3;34
92;0;G3;34
93;1;S4;34
94;0;SMBIOS;35
95;1;IPMI;35
96;0;WMI;35
