id,correcta,puntaje_obtenido,pregunta_id,respuesta_id,quizUser_id,nombreUser_id,uso_ayuda,dificultad,tiempo_pregunta
467,1,2,22,58,89,89,0,2,13
468,0,0,27,74,89,89,0,3,55
469,1,2,11,27,89,89,0,2,20
470,1,3,25,67,89,89,0,3,63
471,0,0,23,62,89,89,0,3,47
472,1,2,31,84,89,89,0,2,67
473,0,0,33,88,89,89,0,3,56
474,0,0,13,33,89,89,0,2,80
475,1,1,3,7,89,89,0,1,62
476,0,0,20,54,89,89,0,2,88
477,1,1,30,83,89,89,0,1,69
478,0,0,26,70,89,89,0,2,97
479,0,0,18,48,89,89,0,1,76
480,1,1,14,36,89,89,0,1,103
481,1,1,17,43,89,89,0,1,84
482,0,0,6,14,89,89,0,1,112
483,1,1,8,19,89,89,0,1,94
484,0,0,19,50,89,89,0,1,121
485,1,1,4,11,89,89,0,1,100
486,1,1,2,5,89,89,0,1,137
487,1,1,18,46,90,90,0,1,15
488,1,2,20,53,90,90,0,2,8
489,1,3,35,95,90,90,0,3,51
490,1,3,33,90,90,90,0,3,15
491,1,3,29,78,90,90,0,3,59
492,0,0,23,62,90,90,0,3,25
493,1,2,15,38,90,90,0,2,80
494,1,1,7,18,90,90,0,1,33
495,1,2,13,32,90,90,0,2,93
496,1,1,1,1,90,90,0,1,43
497,1,2,11,27,90,90,0,2,102
498,1,1,19,49,90,90,0,1,64
499,1,2,31,84,90,90,0,2,113
500,1,1,4,11,90,90,0,1,81
501,1,1,8,19,90,90,0,1,119
502,1,1,30,83,90,90,0,1,94
503,0,0,6,14,90,90,0,1,123
504,1,1,9,21,90,90,0,1,100
505,1,1,2,5,90,90,0,1,150
506,1,1,16,42,90,90,0,1,111
507,1,1,8,19,91,91,0,1,11
508,1,2,28,77,91,91,0,2,10
509,0,0,23,61,91,91,0,3,20
510,1,2,31,84,91,91,0,2,18
511,1,3,34,93,91,91,1,3,36
512,0,0,5,12,91,91,0,2,25
513,1,1,17,43,91,91,0,1,47
514,1,2,32,87,91,91,0,2,34
515,1,3,24,66,91,91,1,3,58
516,1,2,11,27,91,91,0,2,41
517,1,3,27,73,91,91,1,3,74
518,1,2,13,32,91,91,0,2,69
